Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Masters,Chrome 79.0.3945.117,,2020-01-16 15:12:15,2020-01-16 15:15:26,3m - 11.286s,FAILED
,,,,,,
Test Cases/Common Test Cases/do_Login,Chrome 79.0.3945.117,,2020-01-16 15:12:23,2020-01-16 15:12:30,6.987s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 79.0.3945.117,,2020-01-16 15:12:23,2020-01-16 15:12:23,0.016s,PASSED
navigateToUrl,Chrome 79.0.3945.117,,2020-01-16 15:12:23,2020-01-16 15:12:29,5.349s,PASSED
com.eppm.keywords.TestBase.sendkeyElement,Chrome 79.0.3945.117,input username,2020-01-16 15:12:29,2020-01-16 15:12:29,0.466s,PASSED
com.eppm.keywords.TestBase.sendkeyElement,Chrome 79.0.3945.117,input password,2020-01-16 15:12:29,2020-01-16 15:12:30,0.421s,PASSED
com.eppm.keywords.TestBase.clickElement,Chrome 79.0.3945.117,click on login button,2020-01-16 15:12:30,2020-01-16 15:12:30,0.330s,PASSED
Start listener action : sampleAfterTestCase,Chrome 79.0.3945.117,,2020-01-16 15:12:30,2020-01-16 15:12:30,0.007s,PASSED
,,,,,,
Test Cases/Masters/EPPM Configurations/Manage Endeavour Booking Masters/01_Cost_Operation_Centres/CRUD_Operation_Cost Centres/TC_01_Create Cost Centres,Chrome 79.0.3945.117,,2020-01-16 15:12:30,2020-01-16 15:13:46,1m - 15.852s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 79.0.3945.117,,2020-01-16 15:12:30,2020-01-16 15:12:30,0.004s,PASSED
com.eppm.keywords.TestBase.clickElement,Chrome 79.0.3945.117,click on EPPM Configurations menu,2020-01-16 15:12:30,2020-01-16 15:13:02,32.092s,PASSED
com.eppm.keywords.TestBase.clickElement,Chrome 79.0.3945.117,click on Manage Endeavour Booking Masters submenu,2020-01-16 15:13:02,2020-01-16 15:13:03,0.294s,PASSED
com.eppm.keywords.TestBase.clickElement,Chrome 79.0.3945.117,click on Cost Centres submenu,2020-01-16 15:13:03,2020-01-16 15:13:03,0.466s,PASSED
com.eppm.keywords.TestBase.isElementPresent,Chrome 79.0.3945.117,verify Cost Centre header is present,2020-01-16 15:13:03,2020-01-16 15:13:03,0.356s,PASSED
Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementVisible(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Cost_Centre_Page/button_Create New Cost Centre))),Chrome 79.0.3945.117,,2020-01-16 15:13:03,2020-01-16 15:13:46,42.249s,PASSED
Start listener action : sampleAfterTestCase,Chrome 79.0.3945.117,,2020-01-16 15:13:46,2020-01-16 15:13:46,0.016s,PASSED
,,,,,,
Test Cases/Masters/EPPM Configurations/Manage Endeavour Booking Masters/01_Cost_Operation_Centres/CRUD_Operation_Cost Centres/TC_02_Revert Cost Centres,Chrome 79.0.3945.117,,2020-01-16 15:13:46,2020-01-16 15:14:20,34.174s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 79.0.3945.117,,2020-01-16 15:13:46,2020-01-16 15:13:46,0.000s,PASSED
com.eppm.keywords.TestBase.isElementPresent,Chrome 79.0.3945.117,verify Cost Centre header is present,2020-01-16 15:13:46,2020-01-16 15:13:46,0.029s,PASSED
com.eppm.keywords.TestBase.clickElement,Chrome 79.0.3945.117,click on filter button,2020-01-16 15:13:46,2020-01-16 15:13:46,0.199s,PASSED
com.eppm.keywords.TestBase.sendkeyElement,Chrome 79.0.3945.117,enter name on search name txt box,2020-01-16 15:13:46,2020-01-16 15:13:48,1.710s,PASSED
Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementVisible(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Cost_Centre_Page/button_Update Search))),Chrome 79.0.3945.117,,2020-01-16 15:13:48,2020-01-16 15:14:20,31.845s,FAILED
Statement - Else,Chrome 79.0.3945.117,,2020-01-16 15:14:20,2020-01-16 15:14:20,0.009s,PASSED
waitForPageLoad,Chrome 79.0.3945.117,,2020-01-16 15:14:20,2020-01-16 15:14:20,0.083s,PASSED
Start listener action : sampleAfterTestCase,Chrome 79.0.3945.117,,2020-01-16 15:14:20,2020-01-16 15:14:20,0.000s,PASSED
,,,,,,
Test Cases/Masters/EPPM Configurations/Manage Endeavour Booking Masters/01_Cost_Operation_Centres/CRUD_Operation_Cost Centres/TC_03_Update Cost Centres,Chrome 79.0.3945.117,,2020-01-16 15:14:20,2020-01-16 15:14:52,31.997s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 79.0.3945.117,,2020-01-16 15:14:20,2020-01-16 15:14:20,0.000s,PASSED
com.eppm.keywords.TestBase.isElementPresent,Chrome 79.0.3945.117,verify Cost Centre header is present,2020-01-16 15:14:20,2020-01-16 15:14:20,0.027s,PASSED
com.eppm.keywords.TestBase.clickElement,Chrome 79.0.3945.117,click on filter button,2020-01-16 15:14:20,2020-01-16 15:14:20,0.163s,PASSED
com.eppm.keywords.TestBase.sendkeyElement,Chrome 79.0.3945.117,enter name on search name txt box,2020-01-16 15:14:20,2020-01-16 15:14:52,31.467s,FAILED
Start listener action : sampleAfterTestCase,Chrome 79.0.3945.117,,2020-01-16 15:14:52,2020-01-16 15:14:52,0.015s,PASSED
,,,,,,
Test Cases/Masters/EPPM Configurations/Manage Endeavour Booking Masters/01_Cost_Operation_Centres/CRUD_Operation_Cost Centres/TC_04_Delete Cost Centres,Chrome 79.0.3945.117,,2020-01-16 15:14:52,2020-01-16 15:15:25,33.498s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 79.0.3945.117,,2020-01-16 15:14:52,2020-01-16 15:14:52,0.009s,PASSED
com.eppm.keywords.TestBase.isElementPresent,Chrome 79.0.3945.117,verify Cost Centre header is present,2020-01-16 15:14:52,2020-01-16 15:14:52,0.035s,PASSED
com.eppm.keywords.TestBase.clickElement,Chrome 79.0.3945.117,click on filter button,2020-01-16 15:14:52,2020-01-16 15:14:52,0.096s,PASSED
com.eppm.keywords.TestBase.sendkeyElement,Chrome 79.0.3945.117,enter name on search name txt box,2020-01-16 15:14:52,2020-01-16 15:14:54,1.676s,PASSED
com.eppm.keywords.TestBase.clickElement,Chrome 79.0.3945.117,select Check Box,2020-01-16 15:14:54,2020-01-16 15:15:25,31.327s,FAILED
Start listener action : sampleAfterTestCase,Chrome 79.0.3945.117,,2020-01-16 15:15:25,2020-01-16 15:15:25,0.000s,PASSED
